year,language,creator
1988,Tcl,John Ousterhout
1988,STOS BASIC,François Lionet and Constantin Sotiropoulos
1988,Object REXX,Simon C. Nash
1988,SPARK,Bernard A. Carré
1988,A+,Arthur Whitney
1988,Hamilton C shell,Nicole Hamilton
1989,Turbo Pascal OOP,Anders Hejlsberg at Borland
1989,Modula-3,"Cardeli, et al. DEC and Olivetti"
1989,PowerBASIC,Robert 'Bob' Zale
1989,VisSim,"Peter Darnell, Visual Solutions"
1989,LPC,Lars Pensjö
1989,Bash,Brian Fox
1989,Magik (programming language),"Arthur Chance, of Smallworld Systems Ltd"
1990,AMOS BASIC,François Lionet and Constantin Sotiropoulos
1990,AMPL,"Robert Fourer, David Gay and Brian Kernighan at Bell Laboratories"
1990,Object Oberon,"H Mössenböck, J Templ, R Griesemer"
1990,J,"Kenneth E. Iverson, Roger Hui at Iverson Software"
1990,Haskell,
1990,EuLisp,
1990,Z Shell (zsh),Paul Falstad at Princeton University
1991,GNU E,"David J. DeWitt, Michael J. Carey"
1991,Oberon-2,"Hanspeter Mössenböck, Wirth"
1991,Python,Guido van Rossum
1991,Oz,Gert Smolka and his students
1991,Q,Albert Gräf
1991,Visual Basic,"Alan Cooper, sold to Microsoft"
1992,Borland Pascal,
1992,Dylan,many people at Apple Computer Inc.
1993,Self (implementation),Sun Microsystems Inc.
1993,Amiga E,Wouter van Oortmerssen
1993,Brainfuck,Urban Müller
1993,LiveCode Transcript,
1993,AppleScript,Apple Computer Inc.
1993,K,Arthur Whitney
1993,Lua,"Roberto Ierusalimschy et al. at Tecgraf, PUC-Rio"
1993,R,Robert Gentleman and Ross Ihaka
1993,ZPL,Chamberlain et al. at University of Washington
1993,NewtonScript,Walter Smith
1994,Claire,Yves Caseau
1994,ANSI Common Lisp,
1994,RAPID,ABB Group
1994,Pike,Fredrik Hübinette et al. at Linköping University
1994,ANS Forth,"Elizabeth Rather, et al."
1995,Ada 95,"S. Tucker Taft, et al. at Intermetrics, Inc."
1995,Borland Delphi,Anders Hejlsberg at Borland
1995,ColdFusion (CFML),Allaire
1995,Java,James Gosling at Sun Microsystems
1995,LiveScript,Brendan Eich at Netscape
1995,Mercury,Zoltan Somogyi at University of Melbourne
1995,PHP,Rasmus Lerdorf
1995,Ruby,Yukihiro Matsumoto
1995,JavaScript,Brendan Eich at Netscape
1996,Curl,"David Kranz, Steve Ward, Chris Terman at MIT"
1996,Lasso,Blue World Communications Inc.
1996,Perl Data Language (PDL),"Karl Glazebrook, Jarle Brinchmann, Tuomas Lukka, and Christian Soeller"
1996,VBScript,Microsoft
1996,OCaml,INRIA
1996,NetRexx,Mike Cowlishaw
1997,Component Pascal,"Oberon microsystems, Inc"
1997,E,Mark S. Miller
1997,Pico,Free University of Brussels
1997,Squeak Smalltalk,"Alan Kay, et al. at Apple Computer Inc."
1997,ECMAScript,ECMA TC39-TG1
1997,F-Script,Philippe Mougin
1997,ISLISP,ISO Standard ISLISP
1997,Tea,Jorge Nunes
1997,REBOL,"Carl Sassenrath, Rebol Technologies"
1998,Standard C++,ANSI/ISO Standard C++
1998,M2001,"Ronald E. Prather, Trinity University (Texas)"
1998,Pikt,Robert Osterlund (then at University of Chicago)
1998,PureBasic,"Frederic Laboureur, Fantaisie Software"
1998,UnrealScript,Tim Sweeney at Epic Games
1999,XSLT (+ XPath),"W3C, James Clark"
1999,Game Maker Language (GML),Mark Overmars
1999,Harbour,Antonio Linares
2000,Join Java,G Stewart von Itzstein
2000,ActionScript,Gary Grossman
2000,Joy,Manfred von Thun
2000,XL,Christophe de Dinechin
2000,C#,"Anders Hejlsberg, Microsoft (ECMA)"
2000,D,"Walter Bright, Digital Mars"
2000,Ferite,Chris Ross
2001,AspectJ,"Gregor Kiczales, Xerox PARC"
2001,Processing,Casey Reas and Benjamin Fry
2001,Visual Basic .NET,Microsoft
2001,"RPG IV (RPGLE, ILE RPG, RPG Free)",IBM
2001,GDScript (GDS),OKAM Studio
2002,Io,Steve Dekorte
2002,Gosu,Guidewire Software
2003,Nemerle,University of Wrocław
2003,Factor,Slava Pestov
2003,Falcon,Giancarlo Niccolai
2003,Scala,Martin Odersky
2003,Squirrel,Alberto Demichelis
2004,Subtext,Jonathan Edwards
2004,Alma-0,"Krzysztof Apt, Centrum Wiskunde & Informatica"
2004,Boo,Rodrigo B. de Oliveira
2004,FreeBASIC,Andre Victor
2004,Groovy,James Strachan
2004,Little b,"Aneil Mallavarapu, Harvard Medical School, Department of Systems Biology"
2005,F#,"Don Syme, Microsoft Research"
2005,Haxe,Nicolas Cannasse
2005,Seed7,Thomas Mertes
2006,Links,"Philip Wadler, University of Edinburgh"
2006,Cobra,ChuckEsterbrook
2006,Windows PowerShell,Microsoft
2006,OptimJ,Ateji
2007,Ada 2005,Ada Rapporteur Group
2007,Agda,Ulf Norell
2007,Fantom,"Brian Frank, Andy Frank"
2007,Scratch,"Mitchel Resnick, John Maloney, Natalie Rusk, Evelyn Eastmond, Tammy Stern, Amon Millner, Jay Silver, and Brian Silverman"
2007,Vala,GNOME
2007,Clojure,Rich Hickey
2007,Fortress,Guy Steele
2007,Oberon-07,Wirth[9]
2007,LOLCODE,Adam Lindsay
2008,Nim,Andreas Rumpf
2008,Genie,Jamie McCracken
2008,Pure,Albert Gräf
2009,Go,Google
2009,CoffeeScript,Jeremy Ashkenas
2009,Idris,Edwin Brady
2009,Parasail,"S. Tucker Taft, AdaCore"
2010,Chapel,"Brad Chamberlain, Cray Inc."
2010,Rust,"Graydon Hoare, Mozilla"
2011,Ceylon,"Gavin King, Red Hat"
2011,Dart,Google
2011,Elm,Evan Czaplicki
2011,Kotlin,JetBrains
2011,C++11,C++ ISO/IEC 14882:2011
2011,Red,Nenad Rakocevic
2012,Elixir,José Valim
2012,TypeScript,"Anders Hejlsberg, Microsoft"
2012,Julia,"Jeff Bezanson, Stefan Karpinski, Viral Shah, Alan Edelman, MIT"
2012,Ada 2012,ARA and Ada Europe (ISO/IEC 8652:2012)
2014,Crystal,"Ary Borenszweig, Manas Technology Solutions"
2014,Hack,Facebook
2014,Swift,Apple Inc.
2014,C++14,C++ ISO/IEC 14882:2014
2016,Ring,Mahmoud Fayed
