language,location,latitude,longitude,Degree of endangerment
Chiquitano (Brazil),Brazil,-10.8104525,-52.9731178,Critically endangered
Cho-ca-nga-ca-kha,Bhutan,27.4168797,90.434761,Definitely endangered
Choctaw (Louisiana),United States of America,39.4432564,-98.9573364,Vulnerable
Choctaw (Mississipi),United States of America,39.4432564,-98.9573364,Vulnerable
Choctaw (Oklahoma),United States of America,39.4432564,-98.9573364,Vulnerable
Chokri,India,23.4060116,79.4580917,Vulnerable
Chong,"Cambodia, Thailand",14.03873,99.51132,Severely endangered
Chontal Tabasco,Mexico,23.9090939,-102.6334,Severely endangered
Chorote Iyojwa'ja,"Argentina, Paraguay",-23.2402897,-58.3951721,Severely endangered
Chorotega,Costa Rica,9.8849916,-84.2272339,Critically endangered
Choyi,China,36.5530853,103.9754333,Definitely endangered
Chrau,Viet Nam,16.9404297,106.8164291,Definitely endangered
Chru,Viet Nam,16.9404297,106.8164291,Vulnerable
Chuang,Cambodia,12.5704231,104.8139114,Critically endangered
Chuj (Guatemala),Guatemala,15.6705656,-90.3486557,Vulnerable
Chuj (Mexico),Mexico,23.9090939,-102.6334,Critically endangered
Chukchi,Russian Federation,63.1251869,103.7539825,Severely endangered
Chulym Turk,Russian Federation,63.1251869,103.7539825,Critically endangered
Chung (Cambodia),Cambodia,12.5704231,104.8139114,Critically endangered
Chung (Thailand),Thailand,14.4845819,100.8519135,Critically endangered
Churahi,India,23.4060116,79.4580917,Definitely endangered
Chuvash,Russian Federation,63.1251869,103.7539825,Vulnerable
ChÉ¨lÉ¨ng,Nepal,28.2591381,83.9441605,Definitely endangered
Cimbrian,Italy,42.7669792,12.4938231,Definitely endangered
Cinta Larga,Brazil,-10.8104525,-52.9731178,Vulnerable
Cobiana,"Guinea-Bissau, Senegal",14.3625116,-14.5316439,Critically endangered
Cocama-Cocamilla (Brazil),Brazil,-10.8104525,-52.9731178,Critically endangered
Cocama-Cocamilla (Peru),Peru,-9.212533,-74.4221191,Severely endangered
Cocopa (Arizona),United States of America,39.4432564,-98.9573364,Severely endangered
Cocopa (Mexico),Mexico,23.9090939,-102.6334,Definitely endangered
Coeur d'Alene,United States of America,39.4432564,-98.9573364,Critically endangered
Columbian,United States of America,39.4432564,-98.9573364,Critically endangered
Comanche,United States of America,39.4432564,-98.9573364,Severely endangered
Comox/Sliammon,Canada,62.8329086,-95.9133224,Critically endangered
CÃ´Ã´ng,Viet Nam,16.9404297,106.8164291,Definitely endangered
Copper Island Aleut,Russian Federation,63.1251869,103.7539825,Critically endangered
Corfiot Italkian,Greece,39.6843719,21.8974094,Critically endangered
Cornish,United Kingdom of Great Britain and Northern Ireland,54.5608864,-2.212512,Critically endangered
Corsican,"France, Italy",48.6609612,-4.2104201,Definitely endangered
Cosung (China),China,36.5530853,103.9754333,Definitely endangered
Cosung (Viet Nam),Viet Nam,16.9404297,106.8164291,Definitely endangered
Creek,United States of America,39.4432564,-98.9573364,Definitely endangered
Crimean Tatar (Crimea),Ukraine,48.9265633,31.4757824,Severely endangered
Crimean Tatar (Dobruja),"Bulgaria, Romania",46.7881012,23.6242008,Severely endangered
Crimean Turkish,Ukraine,48.9265633,31.4757824,Severely endangered
Crow,United States of America,39.4432564,-98.9573364,Definitely endangered
CsÃ¡ngÃ³ Hungarian,Romania,45.8377419,25.0059357,Severely endangered
Cubeo (Brazil),Brazil,-10.8104525,-52.9731178,Definitely endangered
Cubeo (Colombia),Colombia,3.997607,-73.2779694,Vulnerable
Cuiba,"Colombia, Venezuela (Bolivarian Republic of)",7.6653891,-66.1454163,Severely endangered
Culina (Brazil),Brazil,-10.8104525,-52.9731178,Vulnerable
Culina (Peru),Peru,-9.212533,-74.4221191,Definitely endangered
Cuona Menba,"Bhutan, China, India",27.4168797,90.434761,Vulnerable
Cypriot Arabic,Cyprus,35.1147385,33.4867172,Severely endangered
Dabra,Indonesia,-1.248089,115.4189987,Vulnerable
Dagur (Amur),China,36.5530853,103.9754333,Critically endangered
Dagur (Hailar),China,36.5530853,103.9754333,Definitely endangered
Dagur (Nonni),China,36.5530853,103.9754333,Definitely endangered
Dahaalik,Eritrea,15.3971996,39.0871887,Critically endangered
Dahalo,Kenya,,,Severely endangered
Dair,Sudan,,,Severely endangered
Dakka,Indonesia,,,Vulnerable
Dakkang,Lao People's Democratic Republic,,,Definitely endangered
Dakota,Canada,,,Definitely endangered
Dakpa,"Bhutan, India",,,Definitely endangered
Dalecarlian,Sweden,,,Definitely endangered
Damal,Indonesia,,,Vulnerable
Damana,Colombia,,,Definitely endangered
Dameli,Pakistan,,,Severely endangered
Dampel,Indonesia,,,Critically endangered
Dampelas,Indonesia,,,Definitely endangered
Danaw,Myanmar,,,Critically endangered
Danisi,Botswana,,,Critically endangered
Danuwar,Nepal,,,Severely endangered
Darai,Nepal,,,Severely endangered
Dargwa,Russian Federation,,,Vulnerable
Dari,Iran (Islamic Republic of),,,Definitely endangered
Darma,"India, Nepal",,,Definitely endangered
DÃ¢w,Brazil,,,Vulnerable
Defaka,Nigeria,,,Critically endangered
Demisa,Indonesia,,,Definitely endangered
Dene Suline,Canada,,,Vulnerable
Dengalu,Papua New Guinea,,,Definitely endangered
DenÃ­,Brazil,,,Vulnerable
Deori,India,,,Definitely endangered
Desano (Brazil),Brazil,,,Definitely endangered
Desano (Colombia),Colombia,,,Definitely endangered
Dhaiso,United Republic of Tanzania,,,Definitely endangered
Dharawal,Australia,,,Critically endangered
Dharug,Australia,,,Critically endangered
Dhimal,Nepal,,,Severely endangered
Dhurga,Australia,,,Critically endangered
DiahÃ³i,Brazil,,,Critically endangered
Dilling,Sudan,,,Definitely endangered
Dimasa,India,,,Vulnerable
Dimbong,Cameroon,,,Critically endangered
Dimme,Ethiopia,,,Vulnerable
Djeoromitxi,Brazil,,,Severely endangered
Djinang,Australia,,,Definitely endangered
Doga,Papua New Guinea,,,Definitely endangered
Dogrib,Canada,,,Vulnerable
Dol-po,Nepal,,,Definitely endangered
Dolgan,Russian Federation,,,Definitely endangered
Domaaki,Pakistan,,,Severely endangered
Domari,"Egypt, Israel, Jordan, Lebanon, Libyan Arab Jamahiriya, Palestine, Syrian Arab Republic",,,Severely endangered
Dondo,Indonesia,,,Vulnerable
Dongotono,Sudan,,,Vulnerable
Dorig,Vanuatu,,,Definitely endangered
Dorro,Papua New Guinea,,,Severely endangered
Doutai,Indonesia,,,Severely endangered
Drubea,New Caledonia (France),,,Vulnerable
Duano',Malaysia,,,Critically endangered
Dubu,Indonesia,,,Vulnerable
Duguza,Nigeria,,,Definitely endangered
Dukha,Mongolia,,,Severely endangered
Dulbu,Nigeria,,,Critically endangered
Dumi,Nepal,,,Critically endangered
Dumun,Papua New Guinea,,,Critically endangered
Dungan,"Kazakhstan, Kyrgyzstan",,,Definitely endangered
Dungmali,Nepal,,,Definitely endangered
Dupaninan Agta,Philippines,,,Vulnerable
Duriankere,Indonesia,,,Critically endangered
Dusner,Indonesia,,,Critically endangered
Duwet,Papua New Guinea,,,Vulnerable
Dyirbal,Australia,,,Critically endangered
Dzala,Bhutan,,,Vulnerable
Dzhidi,Iran (Islamic Republic of),,,Definitely endangered
Dzongkha,Bhutan,,,Vulnerable
East Cape Yupik,Russian Federation,,,Critically endangered
East Franconian,"Germany, Czech Republic",,,Vulnerable
East Greenlandic,Greenland (Kingdom of Denmark),,,Definitely endangered
Eastern Cham,Viet Nam,,,Definitely endangered
Eastern Chocho,Mexico,,,Severely endangered
Eastern Cuicatec,Mexico,,,Vulnerable
Eastern Khanty,Russian Federation,,,Definitely endangered
Eastern Mansi,Russian Federation,,,Critically endangered
Eastern Mari,Russian Federation,,,Definitely endangered
Eastern Mazahua,Mexico,,,Definitely endangered
Eastern Montagnais,Canada,,,Vulnerable
Eastern Ojibwe,Canada,,,Severely endangered
Eastern Popoloc,Mexico,,,Vulnerable
Eastern Slovak,"Slovakia, Ukraine",,,Vulnerable
Eastern Tlapanec,Mexico,,,Vulnerable
Ebang,Sudan,,,Severely endangered
Ediamat,Guinea-Bissau,,,Vulnerable
Ega,CÃ´te d'Ivoire,,,Severely endangered
El Hugeirat,Sudan,,,Severely endangered
Eliri,Sudan,,,Severely endangered
EloxochitlÃ¡n Mazatec,Mexico,,,Vulnerable
Emae,Vanuatu,,,Vulnerable
Eman,Cameroon,,,Severely endangered
Embera (Colombia),Colombia,,,Vulnerable
Embera (Panama),Panama,,,Vulnerable
Ã‰mÃ©rillon,French Guiana (France),,,Severely endangered
Emilian-Romagnol,"Italy, San Marino",,,Definitely endangered
Emplawas,Indonesia,,,Definitely endangered
En,Myanmar,,,Critically endangered
EnawenÃª-NawÃª,Brazil,,,Vulnerable
Enggano,Indonesia,,,Vulnerable
Erokwanas,Indonesia,,,Vulnerable
Ersu,China,,,Definitely endangered
Erzya,Russian Federation,,,Definitely endangered
Ese eja,"Bolivia (Plurinational State of), Peru",,,Definitely endangered
Even (Kamtchatka),Russian Federation,,,Severely endangered
Even (Siberia),Russian Federation,,,Severely endangered
Evenki (Manchuria),China,,,Severely endangered
Evenki (Northern Siberia),Russian Federation,,,Severely endangered
Evenki (Sakhalin),Russian Federation,,,Severely endangered
Evenki (Southern Siberia),"Mongolia, Russian Federation",,,Severely endangered
Faetar,Italy,,,Definitely endangered
Fagauvea (Northern),New Caledonia (France),,,Vulnerable
Fagauvea (Southern),New Caledonia (France),,,Vulnerable
Faghani,Solomon Islands,,,Vulnerable
Faire Atta,Philippines,,,Severely endangered
Faita,Papua New Guinea,,,Severely endangered
Fania,Chad,,,Severely endangered
Faroese,Faroe Islands,,,Vulnerable
Fayu,Indonesia,,,Vulnerable
Feroge,Sudan,,,Vulnerable
Figuig,Morocco,,,Vulnerable
Filomeno Mata Totonac,Mexico,,,Vulnerable
Fongoro,Chad,,,Severely endangered
Forest Enets,Russian Federation,,,Critically endangered
Forest Nenets,Russian Federation,,,Severely endangered
Forest Yukagir,Russian Federation,,,Critically endangered
Foya,Indonesia,,,Critically endangered
Franc-Comtois,"France, Switzerland",,,Severely endangered
FrancoprovenÃ§al,"France, Italy, Switzerland",,,Definitely endangered
Friulian,Italy,,,Definitely endangered
FwÃ¢i,New Caledonia (France),,,Vulnerable
Fyem,Nigeria,,,Severely endangered
Gadaba,India,,,Critically endangered
Gadang,Chad,,,Definitely endangered
Gagauz (Bessarabia),"Republic of Moldova, Ukraine",,,Definitely endangered
Gagauz (Deli Orman),Bulgaria,,,Critically endangered
Gagauz (Maritime),"Bulgaria, Romania",,,Severely endangered
Gagauz (South Balkans),"Greece, The former Yugoslav Republic of Macedonia, Turkey",,,Severely endangered
Gajerrong,Australia,,,Critically endangered
Galibi Marworno,Brazil,,,Vulnerable
Gallo,France,,,Severely endangered
Gallo-Sicilian,Italy,,,Definitely endangered
Gallurese,Italy,,,Definitely endangered
Galo,India,,,Vulnerable
Gambiri,Afghanistan,,,Severely endangered
Gamilaraay,Australia,,,Critically endangered
Ganan,Myanmar,,,Severely endangered
Ganggalidda,Australia,,,Critically endangered
Gangou,China,,,Severely endangered
Gangte,India,,,Definitely endangered
Gao,Solomon Islands,,,Vulnerable
Gardiol,Italy,,,Severely endangered
Garhwali,India,,,Vulnerable
GarÃ­funa (Belize),Belize,,,Vulnerable
GarÃ­funa (Guatemala),Guatemala,,,Vulnerable
GarÃ­funa (Honduras),Honduras,,,Vulnerable
GarÃ­funa (Nicaragua),Nicaragua,,,Critically endangered
Garrwa,Australia,,,Severely endangered
Garuwahi,Papua New Guinea,,,Definitely endangered
Gascon,"Spain, France",,,Definitely endangered
Gats'ama - Ganjule - Harro,Ethiopia,,,Definitely endangered
GaviÃ£o de RondÃ´nia,Brazil,,,Vulnerable
GaviÃ£o do ParÃ¡,Brazil,,,Vulnerable
Gawar-Bati,"Pakistan, Afghanistan",,,Definitely endangered
Gazhuo,China,,,Definitely endangered
Gazi,Iran (Islamic Republic of),,,Definitely endangered
Gebe,Indonesia,,,Vulnerable
Geji cluster,Nigeria,,,Severely endangered
Geme,Central African Republic,,,Critically endangered
Gera,Nigeria,,,Vulnerable
Geta?,India,,,Severely endangered
Ghadames,Libyan Arab Jamahiriya,,,Vulnerable
Ghale,Nepal,,,Vulnerable
Ghomara,Morocco,,,Critically endangered
Gitksan,Canada,,,Severely endangered
Godoberi,Russian Federation,,,Definitely endangered
Gondi,India,,,Vulnerable
Gong,Thailand,,,Severely endangered
Gongduk,Bhutan,,,Vulnerable
Gooniyandi,Australia,,,Severely endangered
Gorap,Indonesia,,,Definitely endangered
Gorovu,Papua New Guinea,,,Severely endangered
Gorum,India,,,Definitely endangered
Gottscheerish,Slovenia,,,Critically endangered
Goundo,Chad,,,Critically endangered
Gowro,Pakistan,,,Severely endangered
Grass Koiari,Papua New Guinea,,,Vulnerable
Great andamanese,India,,,Critically endangered
Green Gelao (China),China,,,Critically endangered
Green Gelao (Viet Nam),Viet Nam,,,Critically endangered
Griko (Calabria),Italy,,,Severely endangered
Griko (Salento),Italy,,,Severely endangered
Gros Ventre,United States of America,,,Critically endangered
GuajÃ¡,Brazil,,,Vulnerable
Guajajara,Brazil,,,Vulnerable
Guajiro,"Colombia, Venezuela (Bolivarian Republic of)",,,Vulnerable
Guambiano,Colombia,,,Definitely endangered
GuanÃ¡,Paraguay,,,Critically endangered
GuaranÃ­ Boliviano,"Argentina, Bolivia (Plurinational State of)",,,Vulnerable
Guarasu,Brazil,,,Critically endangered
Guarayu,Bolivia (Plurinational State of),,,Definitely endangered
GuatÃ³,Brazil,,,Critically endangered
Guatuso,Costa Rica,,,Severely endangered
Guayabero,Colombia,,,Definitely endangered
Guernsey French,United Kingdom of Great Britain and Northern Ireland,,,Severely endangered
Guichong,China,,,Vulnerable
Gumbaynggirr,Australia,,,Critically endangered
Gupapuyngu,Australia,,,Vulnerable
Gura,Nigeria,,,Severely endangered
Guranalum,Papua New Guinea,,,Critically endangered
Gurdu-Mbaaru,Nigeria,,,Severely endangered
Gurrgoni,Australia,,,Vulnerable
Gurung,Nepal,,,Definitely endangered
Gusilay,Senegal,,,Vulnerable
Gutnish,Sweden,,,Definitely endangered
Gutob,India,,,Vulnerable
Guugu Yimidhirr,Australia,,,Vulnerable
Gweno,United Republic of Tanzania,,,Critically endangered
Gwich'in (Canada),Canada,,,Severely endangered
Gwich'in (United States of America),United States of America,,,Severely endangered
Gyasumdo,Nepal,,,Definitely endangered
Gyele,"Cameroon, Equatorial Guinea",,,Definitely endangered
Gyem,Nigeria,,,Critically endangered
Ha-lung Tibetan,Nepal,,,Definitely endangered
Habu,Timor-Leste,,,Vulnerable
HachijÅ,Japan,,,Definitely endangered
Hadza,United Republic of Tanzania,,,Vulnerable
Haisla,Canada,,,Critically endangered
Halkomelem,"Canada, United States of America",,,Severely endangered
Han (Canada),Canada,,,Critically endangered
Han (United States of America),United States of America,,,Critically endangered
Handuri,India,,,Critically endangered
Harakmbut,Peru,,,Definitely endangered
Harsusi,Oman,,,Definitely endangered
Havasupai,United States of America,,,Definitely endangered
Hawaiian,United States of America,,,Critically endangered
Hawrami,"Iran (Islamic Republic of), Iraq",,,Definitely endangered
Hayu,Nepal,,,Critically endangered
Heiban,Sudan,,,Vulnerable
Heiltsuk,Canada,,,Critically endangered
Helong,Indonesia,,,Severely endangered
Hermit,Papua New Guinea,,,Critically endangered
HÃ©rtevin,Turkey,,,Critically endangered
Hidatsa,United States of America,,,Definitely endangered
Higher Reservoir Mazatec,Mexico,,,Vulnerable
Highland Chontal,Mexico,,,Severely endangered
Highland Mazatec,Mexico,,,Vulnerable
Hijuk,Cameroon,,,Critically endangered
Hill Miri,India,,,Definitely endangered
Hinukh,Russian Federation,,,Definitely endangered
Hiw,Vanuatu,,,Definitely endangered
HixkaryÃ¡na,Brazil,,,Vulnerable
Hlersu,China,,,Vulnerable
Hmar,India,,,Vulnerable
Ho,India,,,Vulnerable
Hoava,Solomon Islands,,,Vulnerable
Hobyot,"Oman, Yemen",,,Severely endangered
Hodi,Venezuela (Bolivarian Republic of),,,Vulnerable
Holikachuk,United States of America,,,Critically endangered
Homshetsma (Caucasus),"Georgia, Russian Federation",,,Severely endangered
Homshetsma (Turkey),Turkey,,,Definitely endangered
Hopi,United States of America,,,Vulnerable
Hoti,Indonesia,,,Critically endangered
Hozo,Ethiopia,,,Definitely endangered
Hrangkhol,India,,,Vulnerable
Hu,China,,,Definitely endangered
Hualapai,United States of America,,,Vulnerable
Huasteca NÃ¡huatl,Mexico,,,Vulnerable
Huehuetla Tepehua,Mexico,,,Definitely endangered
HuehuetlÃ¡n Mazatec,Mexico,,,Vulnerable
Huichol,Mexico,,,Vulnerable
Huilliche,Chile,,,Critically endangered
"Huitoto (Colombia, Peru)","Colombia, Peru",,,Definitely endangered
Hulaula (Israel),Israel,,,Severely endangered
Hulung,Indonesia,,,Critically endangered
Hung,"Lao People's Democratic Republic, Viet Nam",,,Definitely endangered
Hunzib,Russian Federation,,,Definitely endangered
Hupa,United States of America,,,Critically endangered
Hupda (Brazil),Brazil,,,Vulnerable
Hupda (Colombia),Colombia,,,Definitely endangered
Huron-Wyandot (Canada),Canada,,,Critically endangered
Huzhu Monguor,China,,,Severely endangered
Hya,"Cameroon, Nigeria",,,Severely endangered
Ibu,Indonesia,,,Critically endangered
Idu,"China, India",,,Definitely endangered
Iduh (Lao PDR),Lao People's Democratic Republic,,,Critically endangered
Iduh (Viet Nam),Viet Nam,,,Critically endangered
Ik,Uganda,,,Severely endangered
Ikpeng,Brazil,,,Vulnerable
Ili Turk,China,,,Severely endangered
Ilue,Nigeria,,,Critically endangered
Imeraguen,Mauritania,,,Definitely endangered
IÃ±apari,Peru,,,Critically endangered
Inari Saami,Finland,,,Severely endangered
Indri,Sudan,,,Severely endangered
Inga,Colombia,,,Severely endangered
Ingalik,United States of America,,,Critically endangered
Ingrian,Russian Federation,,,Severely endangered
Ingush,Russian Federation,,,Vulnerable
Inkhokvari,Russian Federation,,,Definitely endangered
Inuinnaqtun,Canada,,,Definitely endangered
Ipai,United States of America,,,Critically endangered
Iquito,Peru,,,Critically endangered
Iranxe,Brazil,,,Critically endangered
Iresim,Indonesia,,,Severely endangered
Irish,"Ireland, United Kingdom of Great Britain and Northern Ireland",,,Definitely endangered
Irula,India,,,Vulnerable
Isarog Agta,Philippines,,,Critically endangered
Ishkashimi,Tajikistan,,,Severely endangered
Isirawa,Indonesia,,,Vulnerable
Isthmus NÃ¡huatl,Mexico,,,Vulnerable
Istriot,Croatia,,,Severely endangered
Istro-Romanian,Croatia,,,Severely endangered
Isu,Cameroon,,,Severely endangered
Itelmen,Russian Federation,,,Critically endangered
Iteri,Papua New Guinea,,,Severely endangered
Itik,Indonesia,,,Vulnerable
Itonama,Bolivia (Plurinational State of),,,Critically endangered
ItzÃ¡,Guatemala,,,Critically endangered
Iwaidja,Australia,,,Vulnerable
Ixcatec,Mexico,,,Critically endangered
IxcatlÃ¡n Mazatec,Mexico,,,Vulnerable
Ixil (Guatemala),Guatemala,,,Vulnerable
Ixil (Mexico),Mexico,,,Critically endangered
Ixtenco OtomÃ­,Mexico,,,Severely endangered
Iyive,Cameroon,,,Severely endangered
Jad,"India, Pakistan",,,Definitely endangered
Jah Hut,Malaysia,,,Severely endangered
Jahai,Malaysia,,,Critically endangered
Jakaltek (Guatemala),Guatemala,,,Definitely endangered
Jakaltek (Mexico),Mexico,,,Severely endangered
JamamadÃ­,Brazil,,,Vulnerable
Jaminjung,Australia,,,Severely endangered
Jangshung,India,,,Definitely endangered
Jaqaru,Peru,,,Severely endangered
Jarawa,India,,,Critically endangered
JarawÃ¡ra,Brazil,,,Vulnerable
Jaunsari,India,,,Definitely endangered
JavaÃ©,Brazil,,,Definitely endangered
Javindo Creole,Indonesia,,,Critically endangered
Jawe,New Caledonia (France),,,Vulnerable
Jawoyn,Australia,,,Severely endangered
Jaya,Chad,,,Severely endangered
Jebero,Peru,,,Critically endangered
Jeju,Republic of Korea,,,Critically endangered
Jemez,United States of America,,,Vulnerable
Jeri,CÃ´te d'Ivoire,,,Severely endangered
Jero,Nepal,,,Vulnerable
Jersey French,United Kingdom of Great Britain and Northern Ireland,,,Severely endangered
Jibbali,Oman,,,Severely endangered
Jicarilla Apache,United States of America,,,Severely endangered
Jilbe,Nigeria,,,Critically endangered
Jingulu,Australia,,,Severely endangered
Jinuo,China,,,Definitely endangered
Jiongnai Bunu,China,,,Definitely endangered
Jirel,Nepal,,,Definitely endangered
Jitnu,Colombia,,,Definitely endangered
Jola-Kassa,Senegal,,,Vulnerable
Jone,China,,,Definitely endangered
Jonkor Bourmataguil,Chad,,,Severely endangered
JorÃ¡,Bolivia (Plurinational State of),,,Critically endangered
Juang,India,,,Definitely endangered
Judeo-Berber (Israel),Israel,,,Severely endangered
Judezmo (Europe),"Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Croatia, Greece, The former Yugoslav Republic of Macedonia, Morocco, Romania, Turkey, Serbia",,,Severely endangered
Judezmo (Israel),Israel,,,Severely endangered
Juhur (Caucasus),"Azerbaijan, Russian Federation",,,Definitely endangered
Juhur (Israel),Israel,,,Definitely endangered
Juk,Lao People's Democratic Republic,,,Definitely endangered
Juma,Brazil,,,Critically endangered
K'emant,Ethiopia,,,Severely endangered
K'iche' (Guatemala),Guatemala,,,Vulnerable
K'iche' (Mexico),Mexico,,,Definitely endangered
Ka'apÃ³r,Brazil,,,Vulnerable
Kaande,Gabon,,,Severely endangered
Kabard-Cherkes,"Russian Federation, Turkey",,,Vulnerable
Kabui,India,,,Vulnerable
Kachari,India,,,Definitely endangered
Kaco',Cambodia,,,Definitely endangered
Kadai,Indonesia,,,Definitely endangered
Kadaru,Sudan,,,Definitely endangered
KadiwÃ©u,Brazil,,,Definitely endangered
Kadu,Myanmar,,,Severely endangered
KÄgate,Nepal,,,Definitely endangered
Kaibobo,Indonesia,,,Definitely endangered
Kaiep,Papua New Guinea,,,Vulnerable
Kaike,Nepal,,,Definitely endangered
Kaingang,Brazil,,,Definitely endangered
KaiowÃ¡ Guarani,Brazil,,,Vulnerable
Kairui-Midiki,Timor-Leste,,,Vulnerable
KaixÃ¡na,Brazil,,,Critically endangered
Kaiy,Indonesia,,,Vulnerable
Kaki Ae,Papua New Guinea,,,Vulnerable
Kalamo,Papua New Guinea,,,Severely endangered
Kalao,Indonesia,,,Definitely endangered
Kalapalo,Brazil,,,Vulnerable
Kalasha,Pakistan,,,Severely endangered
Kalaw Lagaw Ya,Australia,,,Definitely endangered
Kalispel,United States of America,,,Critically endangered
Kalkoti,Pakistan,,,Severely endangered
Kalmyk,Russian Federation,,,Definitely endangered
KamaiurÃ¡,Brazil,,,Vulnerable
Kamara,Ghana,,,Definitely endangered
Kamarian,Indonesia,,,Critically endangered
Kamasa,Papua New Guinea,,,Critically endangered
Kami,United Republic of Tanzania,,,Severely endangered
Kanakanabu,China,,,Critically endangered
Kanashi,India,,,Definitely endangered
Kandas,Papua New Guinea,,,Vulnerable
Kanela Apaniekra,Brazil,,,Vulnerable
Kanela Rankokamekra,Brazil,,,Vulnerable
Kanga,Sudan,,,Severely endangered
Kangdi,India,,,Definitely endangered
Kangjia,China,,,Severely endangered
Kaningara,Papua New Guinea,,,Vulnerable
KanoÃª,Brazil,,,Critically endangered
Kanowit,Malaysia,,,Severely endangered
Kao,Indonesia,,,Definitely endangered
Kapingamarangi,Micronesia (Federated States of),,,Severely endangered
Kapori,Indonesia,,,Critically endangered
Kaqchikel (Guatemala),Guatemala,,,Vulnerable
Kaqchikel (Mexico),Mexico,,,Critically endangered
Karachay-Balkar,Russian Federation,,,Vulnerable
Karagash,Russian Federation,,,Definitely endangered
Karaim (Lithuania),Lithuania,,,Severely endangered
Karaim (Western Ukraine),Ukraine,,,Critically endangered
KarajÃ¡,Brazil,,,Vulnerable
Karajarri,Australia,,,Critically endangered
Karang,Chad,,,Vulnerable
Karas,Indonesia,,,Severely endangered
Karata,Russian Federation,,,Definitely endangered
Karbi,India,,,Vulnerable
Karelian (Karelia),"Finland, Russian Federation",,,Definitely endangered
Karelian (Tikhvin),Russian Federation,,,Severely endangered
Karelian (Tver),Russian Federation,,,Definitely endangered
Kari,Democratic Republic of the Congo,,,Severely endangered
Kari'Ã±a (Brazil),Brazil,,,Definitely endangered
Kari'Ã±a (French Guyana),French Guiana (France),,,Definitely endangered
"Kari'Ã±a (Guyana, Suriname)","Guyana, Suriname",,,Severely endangered
Kari'Ã±a (Venezuela),Venezuela (Bolivarian Republic of),,,Severely endangered
Karipuna,Brazil,,,Definitely endangered
Karipuna do AmapÃ¡,Brazil,,,Vulnerable
Karitiana,Brazil,,,Vulnerable
Karko,Sudan,,,Definitely endangered
Karo,Brazil,,,Vulnerable
Karo,Ethiopia,,,Critically endangered
Karone,Senegal,,,Vulnerable
Karore,Papua New Guinea,,,Vulnerable
Karuk,United States of America,,,Severely endangered
Kasanga,Guinea-Bissau,,,Critically endangered
Kashaya,United States of America,,,Critically endangered
Kashubian,Poland,,,Severely endangered
Kaska,Canada,,,Severely endangered
Kasong,"Cambodia, Thailand",,,Critically endangered
Katawixi,Brazil,,,Critically endangered
Kathu,China,,,Definitely endangered
Kati,"Pakistan, Afghanistan",,,Definitely endangered
Katla,Sudan,,,Definitely endangered
Katukina do Acre,Brazil,,,Severely endangered
KatukÃ­na-KanamarÃ­,Brazil,,,Vulnerable
Katxuyana-XikuyÃ¡na,Brazil,,,Vulnerable
Kaurna,Australia,,,Critically endangered
Kavalan,China,,,Critically endangered
Kawaiisu,United States of America,,,Critically endangered
Kawucha,Papua New Guinea,,,Critically endangered
Kaxarari,Brazil,,,Critically endangered
Kayabi,Brazil,,,Vulnerable
Kayardild,Australia,,,Critically endangered
Kayupulau,Indonesia,,,Critically endangered
Keder,Indonesia,,,Severely endangered
Keiga,Sudan,,,Severely endangered
Kelo,Sudan,,,Critically endangered
Kembra,Indonesia,,,Critically endangered
Kendeje,Chad,,,Definitely endangered
Kendem,Cameroon,,,Severely endangered
Kensiw (Malaysia),Malaysia,,,Critically endangered
Kensiw (Thailand),Thailand,,,Severely endangered
Kentak,Malaysia,,,Critically endangered
Ket,Russian Federation,,,Severely endangered
Khaccaá¸ Bhoá¹­e,Nepal,,,Definitely endangered
Khakas,Russian Federation,,,Definitely endangered
Khalaj,Iran (Islamic Republic of),,,Vulnerable
Khaling,Nepal,,,Definitely endangered
Kham,Nepal,,,Definitely endangered
Khamba,"China, India",,,Definitely endangered
Khamnigan Mongol,"China, Mongolia, Russian Federation",,,Definitely endangered
Khampti,India,,,Vulnerable
Khang Quang Lam,Viet Nam,,,Severely endangered
Kharia,India,,,Vulnerable
Khasali,India,,,Definitely endangered
Khasi,India,,,Vulnerable
Kheng,Bhutan,,,Vulnerable
Kheza,India,,,Vulnerable
Khiamngan,India,,,Vulnerable
Khinalug,Azerbaijan,,,Severely endangered
Khmin,China,,,Vulnerable
Khoirao,India,,,Vulnerable
Khojki,Oman,,,Severely endangered
Khorasani Turk,Iran (Islamic Republic of),,,Vulnerable
KhÃ¶vsgÃ¶l Uryangkhay,Mongolia,,,Critically endangered
Khowa,India,,,Definitely endangered
Khowar,Pakistan,,,Vulnerable
Khunsari,Iran (Islamic Republic of),,,Definitely endangered
Khvarshi,Russian Federation,,,Definitely endangered
Khwe,Namibia,,,Definitely endangered
Kickapoo (Kansas),United States of America,,,Severely endangered
Kickapoo (Mexico),Mexico,,,Critically endangered
Kickapoo (Oklahoma),United States of America,,,Severely endangered
Kickapoo (Texas),United States of America,,,Severely endangered
Kija,Australia,,,Severely endangered
Kiksht,United States of America,,,Critically endangered
Kildin Saami,Russian Federation,,,Severely endangered
Kilen,"China, Russian Federation",,,Critically endangered
Kili,Russian Federation,,,Severely endangered
Kiliwa,Mexico,,,Critically endangered
Kim,Sierra Leone,,,Critically endangered
