year,location,languages
2015,United Kingdom,C#;F#;Ruby
2015,United States,Java;SQL
2015,United States,Android;Arduino / Raspberry Pi;C;iOS;Java;JavaScript;MongoDB;Node.js;Objective-C;Ruby;SQL
2015,United States,Android;AngularJS;Hadoop;Java;Ruby;Spark
2015,United States,"Cassandra;Cloud (AWS, GAE, Azure, etc.);Java;Redis;Ruby;Scala;SQL"
2015,United States,JavaScript;LAMP;MongoDB;Node.js;PHP;SQL;Wordpress
2015,United States,C#;JavaScript;SQL;SQL Server
2015,United States,"Arduino / Raspberry Pi;Cloud (AWS, GAE, Azure, etc.);Java;JavaScript;PHP;Ruby;SQL Server"
2015,United States,iOS;Objective-C;Ruby;SQL;Swift;Rails
2015,Uruguay,AngularJS;C#;JavaScript;MongoDB;Node.js;SQL;SQL Server
2015,Belgium,"Android;Cloud (AWS, GAE, Azure, etc.);Java;JavaScript;Ruby;SQL"
2015,Croatia,C
2015,Portugal,Android;C#;Java;Python;SQL;Visual Basic
2015,Singapore,Android;iOS;Java;JavaScript;LAMP;MongoDB;Node.js;PHP;SQL;Wordpress
2015,Turkey,C#
2015,United Kingdom,Java;JavaScript;SQL
2015,United States,C;Java;SQL
2015,United States,AngularJS;Java;JavaScript;SQL
2015,United States,C;Java;Perl
2015,United States,Go;Hadoop;Java;Ruby
2015,United States,Java;JavaScript
2015,United States,C++;C#;iOS;Objective-C;SQL
2015,N/A,C++;C++11;Java;JavaScript;PHP;Python;SQL;Visual Basic
2015,Argentina,"Android;AngularJS;Cloud (AWS, GAE, Azure, etc.);iOS;Java;JavaScript;LAMP;Python;SQL"
2015,Australia,PHP;SQL
2015,Australia,PHP;SQL
2015,Australia,Java
2015,Austria,Java;JavaScript;PHP;SQL
2015,Canada,LAMP;PHP;SQL
2015,Canada,JavaScript;PHP;Wordpress
2015,Croatia,Android;JavaScript;PHP
2015,Germany,C;C++;C++11;Go;JavaScript;Python;SQL
2015,Germany,C++;Python
2015,Hungary,LAMP;PHP;Python;SQL;Wordpress
2015,India,PHP;SQL
2015,India,C#;JavaScript;SQL;SQL Server
2015,India,AngularJS;JavaScript;LAMP;PHP;SQL
2015,India,Java;JavaScript;SQL
2015,Italy,JavaScript;MongoDB;Node.js;PHP;Redis;SQL
2015,Italy,JavaScript;PHP
2015,Mexico,C#;Java;JavaScript;Windows Phone
2015,Peru,JavaScript;PHP;SQL Server
2015,Poland,"C#;Cloud (AWS, GAE, Azure, etc.);SQL;SQL Server"
2015,Poland,Java;JavaScript;Python;R
2015,Poland,JavaScript;PHP
2015,Poland,Java;MongoDB;SQL
2015,Russian Federation,C++;Java;JavaScript;PHP;SQL;SQL Server
2015,Russian Federation,CoffeeScript;MongoDB;Python;SQL;Erlang; MySQL
2015,Switzerland,JavaScript;PHP
2015,Turkey,Android;PHP;Python;Ruby
2015,United Kingdom,C#;SQL
2015,United Kingdom,JavaScript;LAMP;PHP;Wordpress
2015,United Kingdom,"C#;Cloud (AWS, GAE, Azure, etc.);JavaScript;SQL;SQL Server;Visual Basic;Wordpress"
2015,United Kingdom,"Cloud (AWS, GAE, Azure, etc.);Java;Objective-C;Redis;Ruby;Scala;SQL"
2015,United States,Java;Python;Scala
2015,United States,Java;SQL;SQL Server;Delphi
2015,United States,Android;JavaScript;Perl;PHP;SQL
2015,United States,"AngularJS;C#;Cloud (AWS, GAE, Azure, etc.);F#;MongoDB;Node.js;Ruby;SQL Server;Visual Basic"
2015,United States,JavaScript;Perl;PHP
2015,United States,Java;JavaScript;Perl;Python;SQL
2015,United States,C#;SQL Server
2015,United States,JavaScript;PHP
2015,United States,Java;JavaScript;SQL
2015,N/A,Android;C#;iOS;Java;JavaScript;PHP;SQL;SQL Server;Visual Basic
2015,China,Java;JavaScript;SQL;SQL Server
