language,location,latitude,longitude,Degree of endangerment
Athpahariya,Nepal,28.2591381,83.9441605,Definitely endangered
Atikamekw,Canada,62.8329086,-95.9133224,Vulnerable
AurÃª-AurÃ¡,Brazil,-10.8104525,-52.9731178,Critically endangered
Austral dialects,French Polynesia (France),-7.3476038,-129.1758728,Definitely endangered
Auvergnat,France,46.6372795,2.3382621,Severely endangered
Auye,Indonesia,-1.248089,115.4189987,Vulnerable
Ava-Canoeiro,Brazil,-10.8104525,-52.9731178,Critically endangered
Ava-GuaranÃ­,Argentina,-37.0719643,-64.8545074,Definitely endangered
Avar,Russian Federation,63.1251869,103.7539825,Vulnerable
Aveteian,Vanuatu,-16.3766842,167.5625,Critically endangered
Awa Cuaiquer,Colombia,3.997607,-73.2779694,Critically endangered
Awajun,Peru,-9.212533,-74.4221191,Vulnerable
Awakatek (Guatemala),Guatemala,15.6705656,-90.3486557,Vulnerable
Awakatek (Mexico),Mexico,23.9090939,-102.6334,Critically endangered
Awapit,Ecuador,-1.4215291,-78.8710403,Severely endangered
Awera,Indonesia,-1.248089,115.4189987,Vulnerable
Aweti,Brazil,-10.8104525,-52.9731178,Vulnerable
Awjila,Libyan Arab Jamahiriya,27.2360973,18.0435562,Severely endangered
Awyi,Indonesia,-1.248089,115.4189987,Vulnerable
Ayapanec,Mexico,23.9090939,-102.6334,Critically endangered
Ayautla Mazatec,Mexico,23.9090939,-102.6334,Vulnerable
Ayizi,China,36.5530853,103.9754333,Critically endangered
Aymara,"Bolivia (Plurinational State of), Chile, Peru",-16.7130547,-64.6666489,Vulnerable
Ayoreo,Bolivia (Plurinational State of),-16.7130547,-64.6666489,Definitely endangered
Badaga,India,23.4060116,79.4580917,Definitely endangered
Badala,Australia,-25.5852413,134.5041199,Critically endangered
Bade,Nigeria,9.5595055,8.0778809,Vulnerable
Badiaranke,Guinea,10.4293022,-10.9895496,Severely endangered
Baga Manduri,Guinea,10.4293022,-10.9895496,Definitely endangered
Baga Mboteni,Guinea,10.4293022,-10.9895496,Critically endangered
Baga Sitemu,Guinea,10.4293022,-10.9895496,Severely endangered
Baghati,India,23.4060116,79.4580917,Critically endangered
Bagupi,Papua New Guinea,-6.8891602,146.214447,Definitely endangered
Bagvalal,Russian Federation,63.1251869,103.7539825,Definitely endangered
Baheng (China),China,36.5530853,103.9754333,Vulnerable
Baheng (Viet Nam),Viet Nam,16.9404297,106.8164291,Vulnerable
Bahing,Nepal,28.2591381,83.9441605,Definitely endangered
Bahonsuai,Indonesia,-1.248089,115.4189987,Definitely endangered
Bai,Sudan,16.0857849,30.0873909,Definitely endangered
Baima,China,36.5530853,103.9754333,Vulnerable
Bainouk-Gunyaamolo,Senegal,14.3625116,-14.5316439,Vulnerable
Bainouk-Samik,Senegal,14.3625116,-14.5316439,Severely endangered
Bakairi,Brazil,-10.8104525,-52.9731178,Vulnerable
Baki,Vanuatu,-16.3766842,167.5625,Vulnerable
Bakole,Cameroon,5.6854768,12.7228785,Critically endangered
Bakpinka,Nigeria,9.5595055,8.0778809,Critically endangered
Baldemu,Cameroon,5.6854768,12.7228785,Critically endangered
Baleasang,Indonesia,-1.248089,115.4189987,Definitely endangered
Balti,"India, Pakistan",23.4060116,79.4580917,Vulnerable
Bambassi,Ethiopia,8.6267033,39.6375542,Definitely endangered
Bana,Lao People's Democratic Republic,18.6507492,104.1529388,Severely endangered
Banat Bulgarian,"Romania, Serbia",44.2329712,20.7979584,Definitely endangered
BanawÃ¡ Yafi,Brazil,-10.8104525,-52.9731178,Vulnerable
Bandial,Senegal,14.3625116,-14.5316439,Vulnerable
Bangani,India,23.4060116,79.4580917,Critically endangered
Bangni,India,23.4060116,79.4580917,Vulnerable
Bangsa,Vanuatu,-16.3766842,167.5625,Critically endangered
Baniva,Venezuela (Bolivarian Republic of),7.6653891,-66.1454163,Severely endangered
BanÃ­wa do IÃ§ana,"Brazil, Colombia, Venezuela (Bolivarian Republic of)",-25.37488,-49.19552,Vulnerable
Banjima,Australia,-25.5852413,134.5041199,Severely endangered
Banka,Mali,17.3577671,-3.5273819,Definitely endangered
Bantawa,Nepal,28.2591381,83.9441605,Vulnerable
Bara (Brazil),Brazil,-10.8104525,-52.9731178,Vulnerable
Bara (Colombia),Colombia,3.997607,-73.2779694,Critically endangered
Baraba Tatar,Russian Federation,63.1251869,103.7539825,Severely endangered
BarÄm,Nepal,28.2591381,83.9441605,Critically endangered
Baras,Indonesia,-1.248089,115.4189987,Severely endangered
Barasana (Brazil),Brazil,-10.8104525,-52.9731178,Severely endangered
Barasana (Colombia),Colombia,3.997607,-73.2779694,Critically endangered
Bardi,Australia,-25.5852413,134.5041199,Severely endangered
BarÃ© (Brazil),Brazil,-10.8104525,-52.9731178,Critically endangered
BarÃ© (Venezuela),Venezuela (Bolivarian Republic of),7.6653891,-66.1454163,Critically endangered
BarÃ­,Colombia,3.997607,-73.2779694,Vulnerable
Bartangi,Tajikistan,38.8797646,70.8990631,Severely endangered
Barzani Jewish Neo-Aramaic (Israel),Israel,31.8141937,34.7533722,Critically endangered
Bashkardi,Iran (Islamic Republic of),32.5007782,54.2942009,Definitely endangered
Bashkarik,Pakistan,29.9232197,69.3577423,Definitely endangered
Bashkir,Russian Federation,63.1251869,103.7539825,Vulnerable
Basque,"Spain, France",46.6372795,2.3382621,Vulnerable
Bassari,Senegal,14.3625116,-14.5316439,Vulnerable
Bataan Ayta,Philippines,11.1126661,122.5094757,Definitely endangered
Batak,Philippines,11.1126661,122.5094757,Definitely endangered
Batek,Malaysia,2.549001,102.962616,Critically endangered
Bateri,Pakistan,29.9232197,69.3577423,Definitely endangered
Bathari,Oman,20.5666218,56.1579628,Critically endangered
Bati,Cameroon,5.6854768,12.7228785,Severely endangered
Bats,Georgia,32.6483307,-83.4445572,Severely endangered
Baure,Bolivia (Plurinational State of),-16.7130547,-64.6666489,Critically endangered
